,Komentar,Sentimen
914,sedinya ly sistem kaya marketplace ini uda diterapin di agen guru les tempat aku ngajar  jadi ada profiledatabase guru calon murid nyari guru kita apply ya uda tar dipilih suka dah,Negatif
915,marketplace guru disambut positif oleh ketua pgri jawa timur teguh sumarno menurutnya dengan lebih dari  juta guru untuk lolos program pppk adalah niat baik pemerintah ,Positif
916,pgri dukung program marketplace guru untuk percepatan ketersedian guru sesuai kebutuhan ,Positif
917,reaksi mendikbud diminta penjelasan soal marketplace guru ,Positif
919,jadi dengan marketplace tersebut  data talent guru akan lebih terdokumentasi dengan baik sekolah bisa langsung mencari guru sesuai kebutuhan guru pun bisa mencari formasi sesuai keahlian dan lokasi yang diharapkan,Positif
920,jadi marketplace itu istilah umum yg dipake untuk platform yg mempertemukan demand dan suplly hal ini untuk memecahkan kebuntuan terkait kebutuhan guru formasi guru dan kebutuhan sekolah ,Positif
921,pada rame ngrespon soal marketplace guru yg disampaikan di rdp komisi x dpr yg bikin mara mara adl kata marketplace tanpa membaca lebih lanjut padahal ,Positif
923,lagi rame konten marketplace guru nemu komen agak laen hadehhh mba zainab kualitas sdm masa iya harus jadi tanggung jawab guru lagi kerja guru harus  jam kah sampe ngawasin muridnya pas di rumah lalu fungsi keluarga untuk apa  ,Positif
924,nadiem makarim buat sistem rekrutmen guru pppk melalui marketplace begini respons dpr ,Negatif
925,guru diposting neng marketplace,Negatif
926,pr baru ni ada marketplace buat guru ayo pelajari dulu deh baru berani kritik xixi,Positif
927,lah mereka yg terdaftar di marketplace itu juga bukan sembarangan orang mereka yg terdaftar kan bener guru yg punya kompetensi tinggi dan tentunya punya jam terbang juga kalopun misal kepsek nya ambil org terdekat dia yakan tetep yg dia ambil org yg kompeten juga,Positif
928,news terpopuler ekspor pasir laut dibuka rekrutmen guru lewat marketplace ,Negatif
933,mendikbud siapkan sistem marketplace untuk guru seperti apa sih ,Negatif
934,pgri dukung marketplace guru marketplace guru diangga solusi tercepat untuk memenuhi ketersedian guru sesuai dengan kebutuhan ,Positif
937,tolong dong adain demo soal marketplace guru,Negatif
939,ok marketplace buat gurucalon guru jangan lupa checkout ,Negatif
942,marketplace ini bagus sebenernya ngak ada lagi guru honorer titipan kepala sekolah  karna syaratnya wajib lulus ppg lulus ppp pppk kedepan akan berdampak positif untuk kualitas pendidikan,Positif
943,marketplace guru sistem rekrutmen tenaga pendidik solusi atau masalah baru ,Positif
946,semakin kesini semakin ngadi ngadi dunia pendidikan di indonesia setelah marketplace guru apalagi solusi ambyarnya,Negatif
947,kalo di marketplace kan yg di co yang paling murah kl gt ga nyelesaiin masalah gaji guru kecil dong ,Negatif
950,marketplace check out emgnya guru barang dagangan apa ya,Negatif
951,ini apalagi guru pake marketplace dikira barang kali anying,Negatif
954,sekolah ambil guru di marketplace guru bayarnya paylater,Negatif
956,ini pada gak ada yg ngomongin marketplace guru ya pro dan konsnya how dan dampak buat guru gmn,Positif
958,sekarang jamannya checkout barang di shoope tahun depan checkout guru di marketplace guru,Negatif
959,rekrutmen guru lewat marketplace mulai  apa saja keuntungannya ,Negatif
960,bagaimana teknis marketplace guru intip  poin yang wajib diketahui penjelasan lengkap terkait teknis marketplace guru program yang diusulkan mendikbud untuk bantu nasib honorer ,Positif
961,nih pak mentri urusin dulu deh guru yang ngurus masalah gini gak becus daripada koar soal marketplace guru sedih banget liatnya kalo diposisi orang tua anak itu,Negatif
962,marketplace untuk guru ini sebenernya bagus konsepnya cuma sayangnya orang orang pada fokus sama kata marketplace kesannya kurang pas ya sama orang kita yang cukup perhatian sama nama project gini,Positif
963,ngeliat kek ginian jadi pengen setujuin marketplace guru,Positif
964,marketplace guru  dalam mengatasi problematika kualitas dan ketimpangan guru pemerintah harus memastikan kehadiran guru yang merata di setiap jangkal tanah air indonesia,Positif
965,rekrutmen guru bakal lewat marketplace mulai  ,Positif
966,kak ga mau bahas tentang marketplace untuk guru,Positif
967,marketplace guru dari diksinya saja sudah tidak menghargai guru,Negatif
968,marketplace guru kurikulum merdeka makin males gw buat nyelesein skripsi,Negatif
969,marketplace guru jadi terobosan baru proses rekrutmen ala nadiem makarim sekolah bisa checkout sesuka hati tag ibox denny indrayana cawecawe diabetes laurier ,Negatif
970,skrg lagi pusing dgn kehidupan pribadi ditambah lg kepusingan dgn drama pk yang tak kunjung kelar ehh nambah lg drama baru marketplace guru,Negatif
971,kita sebagai pekerja tahu maksud marketplace guru adalah untuk database talent poll gurutapi redaksi marketplace sangat rentan disalahartikanapalagi rawan akan praktek nepotisme dikalangan pendidikan,Negatif
972,marketplace guru gk ada kata yang lebih bagus dan terhormat lagi apa ya selain marketplace _,Negatif
974,coba itu marketplace guru cenah  ,Negatif
975,kuliah lagi susahnya denger berita marketplace guru memang anj,Negatif
976,gila gua nyesek bgt sama kebijakan baru menteri pendidikan marketplace buat guru hah speechless,Negatif
977,marketplace guru sepertinya terobosan yang bagus tapi mbok ya istilahnya jangan marketplace,Negatif
978,ni maksudnya gimana y marketplace guru,Negatif
979,lagi rame marketplace guru agak laen emng sistemnya udah kayak co shopee aja semangat trs guru guru hebat,Negatif
980,gapapa di era guru masuk marketplace gue selaku anak fkip kudu tuntasin yg udh apa gue jalankan masalah kedepannya gimana biar urusan tuhan,Positif
981,sekarang guru bisa dicheckout lewat marketplace,Negatif
983,hidup lagi capeknya tbtb liat sosmed ada berita tntg marketplace guru yaallah yarabbbbbbb,Negatif
984,ntar kalo udah ada marketplace guru yang ganteng dan cantik auto langsung di checkout,Negatif
985,hidup lagi capek nya kerja serius gaji becanda tekad harus lulus pk dengan menyesuaikan syarat dapodik minimal masa kerja  tahun dll kurikulum merdeka harus dipelajari amp diterapkan drama pk belum selesai sudah ada peraturan baru marketplace guru big hug guru honorer,Negatif
986,dari kuliah juga sih wkwkwk capek kuliah pendidikan eh muncul peraturan baru ada marketplace guru sebercanda itu,Negatif
987,guru mtk udah sold out saat ini yg ready stok guru penjaskes aja kak begitukah konsep marketplace guru tahun  maaf kalo salah ,Negatif
988,kebijakan kemaren kacau jadi ditutup kebijakan baru ni denger pk byk yg masih simpang siur bukan apa nih marketplace jadi ladang buat kkn nambah parah guru bagus bakal ditarik sekolah yg bagus guru lain byk guru marketplace nunggu di co dlu sebaran juga makin nggk rata,Negatif
989,marketplace guru teh satu mini proyek bahwa pendidikan kita dibangun untuk industri,Negatif
990,ingat namanya marketplace guru bukan fresh graduate bisa jadi guru disini adalah guru yg udah ngajar atau bisa juga lulusan ppg kebijakannya belum jelas masih dalam proses pengerjaan ditunggu saja sembari upgrade diri,Positif
991,marketplace guru  perdagangan manusia ,Negatif
992,kalo mau curang itu gampang semua cara halal ordal apapun itu bisa diatur semuanya tapi ngga semua sekolah sdmnya seperti itu dengan marketplace harapannya calon guru itu bisa lebih meningkatkan skill dan softskill untuk memperbaiki rating agar dilirik oleh sekolah yg butuh,Positif
993,anjir cape bener fypku semua marketplace guru,Negatif
994,marketplace guru wkwk,Negatif
995,kami bukan barang dagangan anda mas menteri yg terhormat  kami kecewa dengan kebijakan kebijakan ini bapak         ,Negatif
996,jujur marketplace guru bikin tmbh bingung mau ambil apa nggk itu ppg prajab kayak bakal sia aja sih,Negatif
997,marketplace untuk guru ceunah guys,Negatif
999,honorer udh seakan kyk perbudakan ini marketplace guru udh kyk human trafficking jadinya gini amat nyari kerjaan,Negatif
1000,marketplace guru,Negatif
1001,oh iki sing marketplace guru e sistem co ,Negatif
1002,marketplace untuk guru ,Negatif
1003,marketplace guru itu guru apa barang dagangan yang kalo gak ramah gak sesuai bakal dikasih rating satu terus kalo lagi promosi cek keranjang kuning gitu haduh pak mentri adaada aja pikiran anehnya kok makin kesini guru di indonesia kek makin gada harganya ya sedihhhh,Negatif
1004,udah seneng² kuliah bisa ngelewatin  semester tiba² ada pengumuman marketplace guru  gua harus gimana nih lanjut atau ganti fakultas hahaha ,Negatif
1005,percuma guru pekerjaan mulia tapi malah pake platform kek gituan di fb mah marketplace tempat jualan pak yakin mau jual guru check out itu belanja barang di toko online pak bukan belanja guru ngeri amat dah pake check out check out segala,Negatif
1006,marketplace guru opo neh ya allah,Negatif
1007,pak pak ada ada aja bagusan gini pak angkat guru honorer menjadi pns khusus yang telah mengabdi diatas  tahun itu pun  tahun udah kelamaan dah klo pake marketplace yang ada malah kerabat yang di check out pak klo gak yang ngasih pulus biar di check out wkwkwk,Negatif
1008,resmi         ,Positif
1009,marketplace guru  spd yang banyak tuntutan,Negatif
1010,rame nih marketplace guru mangat gaes,Positif
1011,marketplace guru dikira barang dagangan kali ya kok disepein bgt kayanya aku ngga bercita jadi guru meskipun kuliah di pendidikan tapi dgn adanya marketplace guru itu kaya ngrendahin profesi guru itu sendiri,Negatif
1013,gue blm lulus s pd tapi kebijakan dan peraturan baru selalu di buat tanpa menyelesaikan yg sebelumnya ini ada lagi aja marketplace ya allah susah amat kaya buat guru jadi sejahtera kaya apa yaa hmmm,Negatif
1014,jadi guru mesti nunggu dicheckout dulu ,Negatif
1015,kebijakan apa lagini marketplace ppg aja masih belum bener tahun depan pas ganti presiden semoga ada keadilan untuk guru ,Negatif
1016,haha beranda isinya isu marketplace guru pantesan dulu guruku bilang kenapa gk ambil fisika murni aja dan akhirnya ydhlah anak jurusan pendidikan akan ku selesaikan apa yang sudah ku mulai perkara besok mauj adi apa kerja apa biarlah urusan tuhan yang menentukan,Negatif
1018,mentri pendidikan aldi taher ajalah marketplace guru marketplace guru anjwenk,Negatif
1019,tbh gua mau protes soal marketplace guru lo kata guru itu barang apa ya rendah banhet guru di negara indonesia ini,Negatif
1021,gmn yaa klo mikirin gaji atau apa siapa si yg mau jdi guru niatnya udh cuma buat ngajar ngabdi dan belajar tapi kenapa ya cuma guru nih yg drama bgt dri pk marketplace lah pusing bgt udh weh jdi gurumah bukan bisnis,Negatif
1022,makanya kata guah harusny yg jd mentri pendidikan jga linier dari org pendidikan ini dr ngurusin gojek mana ngarti kesulitan yg dihadapin guru solusi de guru honorer malah dibikin marketplace guru dikata w barang jualan hilih,Negatif
1023,sudah capek sarjana  tahun tambah profesi lagi tidak ada penerimaan pns untuk guru dialihkan ke pk yang arahnya masih penuh tikungan ditambah marketplace guru,Negatif
1024,marketplace guru fyp di tiktok dengan sekelumit pro dan kontranya twitter masa nggak trending,Negatif
1025,gua baru aja mau jadi maba dan milih jurusan pendidikan tbtb di tiktok rame marketplace guru itu maksudnya apa jir,Negatif
1028,sekolah tidak lagi nerima honorer kabarnya cpns hanya untuk pusat guru tidak ada formasi pk hanya untuk yang pengalaman sekarang muncul lagi marketplace guru padahal guru mencerdaskan kehidupan bangsa tapi kenapa dihargai hanya sebatas spt ini saja,Negatif
1030,wajar sajasih kalau trobosanya nyeleh orang mentri pendidikannya basicnya bisnis sampe kepikiran buat marketplace guru cpns guru aja di ganti pk belum beres juga sudah buat hal aneh mana persyaratan elit gaji sulit,Negatif
1031,niatnya memang baik mau memperbaiki kualitas guru dan itu memang perlu tapi tolong dipertimbangkan lagi bapak belum ada marketplace aja wes sistem kerabat bapak gimana kalo makin ada pasarnya ya kali mau borong dagangan orang terus dagangan sendiri dibiarin ga mungkin atuh,Negatif
1032,kemendikbud siapkan marketplace untuk rekrutment guru       ,Positif
1033,bentar bentar ini guru mau dijadikan kayak barang dagangan didisplay terus dikasih tarif gitu duh gaji guru udah mengenaskan ditambah wibawa guru yg dipajang di platform marketplace semakin terjun bebas bisa gaada rasa sungkan ntr sama guru krn seolah bs dibeli,Negatif
1034,marketplace guru apalagi anjj,Negatif
1035,makin beban sm marketplace guru hedeuhh,Negatif
1036,marketplace guru wkwkwk lol cikk gada harga diri e lulusan pendidikan,Negatif
1038,guru itu profesi bukan barang atau jasa  ,Negatif
1041,marketplace untuk guru,Positif
1043,marketplace guru efisien ngga sih,Negatif
1044,marketplace guru opo meneh iki pak mentri,Negatif
1045,lagi ramai nyesel spd gara gara  para guru aku yg otw s pd gimana ,Negatif
1046,sekarang cara sekolah ngerekrut guru dibikin marketplace ,Positif
1047,ketinggalan berita baru baca ttg marketplace guru di konoha kyk ini apaan anjir,Negatif
1048,guru yang dari dulu minimnya kesejahteraan masih saja dipersulit dgn persyaratan yg semakin hari semakin diluar nalar apalagi sekarang adanya marketplace guru sistem macam apa yg bapak buat knp profesi menjadi guru dipersulit pendidikan sangat penting knp tdk dipermudah saja,Negatif
1049,buset guru aja skrg direkrutnya dr marketplace,Negatif
1050,masih heran sama marketplace guru yang guru beneran aja bingung apalagi uwe netizen biasa,Negatif
1051,ini sistem marketplace guru jadi kyk gimana toh bentar bingung bgt wkwk jadi sekolah bisa milih ambil yg sesuai kualifikasi gitu kah macem jual diri gitu dong,Negatif
1052,sebenarnya sistem ini hampir sama dengan linkedin yang mana para perekrut bisa mengetahui track record dari pelamar tapi saya kurang setuju dengan nama marketplace guru seperti barang jualan,Negatif
1053,jadi ragu ikut ppg setelah baca komen ditiktok banyak yg ga jelas nasibnya ditambah marketplace guru kek aaaarghh baru aja diniatin buat jadi guru tapi aturannya banyak bngt tapi gaji rendah serendah rendahnya,Negatif
1054,beliau yang memberlakukan marketplace guru ini apa tidak kepikiran tentang pihak sekolah yang merekrut guru dari kalangan krabatnya sendiri untuk menjadi guru atau bisa jadi pihak sekolah disogok duit takutnya begitu karena tau sendiri lah ya gimana cara mainnya di indonesia,Negatif
1055,overthinking gara gara marketplace guru padahal pengenya kalo blm keterima kowad mau kuliah jurusan guru olahraga,Negatif
1056,marketplace guru wkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwwkwkwkwkwkwkwkwkwwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkwkwkwwkwkwkkwkwkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkwkwkkwkwwkkwkwkwkwkwkwk,Negatif
1057,marketplace guru i perkoro opo meneh yallahhhhhhhh,Negatif
1058,kenapa sih gak di ringanin aja untuk calon guru yang ingin bekerja di sekolahsekolah ini menurut aku ribet segala di buat rekrut guru via marketplace dikira nya guru itu barang dagangan sorry,Negatif
1059,yaallah marketplace guru apalagi anjjj,Negatif
1060,lagi rame nih masalah marketplace guru,Positif
1061,marketplace guru wkw lulus nunggu di co dan jan lupa bintang  nya kk,Negatif
1062,udah ovt karna skripsi malah tiktok isinya tntg marketplace guru paling bener gausa buka tiktok emang wkwkw,Negatif
1063,marketplace guru hah,Negatif
1064,fyp w isinya marketplace guru jadi pendidik di negara ini awikwok bgt ya,Negatif
1065,marketplace utk guru sbg org awam setuju sih semua lini mmg harus bersaing scr kompetitif by system mari kita singkirkan katalisator yg tdk formal dlm bidang apapun sebuah inovasi yg harusnya menginisiasi seluruh bidang termasuk politik korporasi dan tentunya birokrasi,Negatif
1066,jadi intinya yg aku paham mah guru yang diambil harus dari marketplace dan market place itu tempat guru yang udah lulus ppg prajab dan pk,Positif
1067,kalo menteri pendidikannya dari gojek ya gini ada ada aja guru marketplace bgst udah cukup lah paylater untuk guru honorer bangsat,Negatif
1070,ya allah baru ambil jurusan pendidikan malah muncul marketplace guru,Negatif
1071,gimana pejuang spd guru di marketplace kan tok lanjut ra studimu wkwkwk,Negatif
1073,gaisss ada yg minatt buat bahas berita terbaru soal  marketplace guru lagi pengen bahas bahas,Positif
1074,dah simulasi jdi guru kok malah ad marketplace guru ,Negatif
1075,skripsian lagi capek capenya malah ada berita marketplace guru,Negatif
1076,gara marketplace guru jadi mikir masa depan gue gimana ya yang udah lulus tapi blm terdaftar di dapodik dan blm ppg juga mau ikutan ppg katanya gratis tp untuk menunjang kehidupan sehari gimana kalo ppg otomatis ga kerja trus ga dapet uang tiap hari mkn ap,Negatif
1078,marketplace guru  guru jaman now di checkout aneh aja njir kementrian ,Negatif
1079,lg rame soal marketplace guru rada bersyukur memutuskan buat ga jadi guru pdhl dri jurusan pendidikan krn ngerasa sistemnya gajelas dan sering ga dihargain jd milih buat linjur aja cari kerjanya smg pemerintah dan org kemendikbud cepet sehat ya semangat tmnku yg jd guru,Negatif
1080,ga sabar nunggu marketplace guru diluncurkan kudu siapin foto terbaik biar menarik pembeli,Negatif
1081,marketplace guru apalagi siii iniiiknpa kesannya guru spt barang dagangan,Negatif
1082,fyp isinya marketplace guru semua,Positif
1083,beda konsenpnya kak jobstreet itukan yang menyediakan perusahaan bukan orang nya terkait marketplace guru itu sebaliknya,Negatif
1084,aku yang masih ngejar gelar spd eh sekarang rame masalah marketplace guru,Negatif
1085,maybe ten years or five years from now if this is followed up by the government maybe there will be a live tiktok until heshe say cek keranjang kuning pray for guru dan marketplace guru yang di suarakan oleh menteri pendidikan tidak terjadi   ,Negatif
1087,pro amp kontra marketplace guru gw sih yea nyatanya tenaga pendidik byk yg tdk terdidikentah itu etika maupun tanggungjawbnya kasus guru ngelecehin siswanya juga ad toh ini akan menyeleksi guru yg emng berkompeten buknkah ini akan meningkatkn kualiats tenaga pendidik,Positif
1088,marketplace buat guru lol dipikir kita barang kali ya sama pak mentri udah dong pak bercandanya makin gk ada harga dirinya ini kalo paket marketplace dicheckout segala macem trs ada bahasa gk laku krn kepala sekolahnya lebih milih yg di checkout kerabatnya doang,Negatif
1089,dari yang aku tangkep konsep marketplace guru ini mirip linkedin tapi khusus guru pihak sekolah bisa melakukan perekrutan guru melalui marketplace guru ini tapi yang bisa direkrut hanya guru yang sudah ppg atau guru yang tergolong ke dalam pppk,Positif
1090,stress ga si dimana mana isinya marketplace guru wkwkwk,Negatif
1091,wht do u think about marketplace guru,Positif
1093,apalagi marketplace guru ni ,Negatif
1095,kemendikbud buat program marketplace guru di  mendatang begini respons kadisdik medan  via ,Positif
1096,apaan lagi marketplace guru hadeh,Negatif
1097,mau lulus susah terus kemudian harus ikut ppd kemudian masuk ke marketplace guru kemudian dipihak sekolah eh milih kerabat nya hhh,Negatif
1098,marketplace guru udah kayak barang jualan tu guruuu hedehhh,Negatif
1100,di tiktok rame marketplace guru antara inovasi atau blunder kalau berprasangka baik mungkin bisa mempercepat dlm merekrut guru sesuai dengan domisilinya tapi kok caranya agak unik yaa ya memang sih kalo dlm kbbi guru itu kata benda mungkin maksudnya seperti halodoc ya,Positif
1101,hidup lagi capekcapeknya malah ada berita soal rancangan marketplace guru ,Negatif
1102,fyp tiktok marketplace guru mulu jadi overthinking dan ngerasa nyesel masuk keguruan,Negatif
1104,marketplace guru ide paling aneh,Negatif
1105,marketplace guru hahaha,Negatif
1106,sayaa dukung presiden yg mau hapusin marketplace guru yg ganti pak nadim jgn jdi mentri pendidikan lagi blio jdi mentri perekonomian aja baiknya sayaaa bkl pilih presiden yg kembali menyayangi dan menghargai guru,Negatif
1107,kuliah pendidikan  thn kerja tiap hari berjejer di marketplace salah dikit bintang  coach justin  selesai tuh guru,Negatif
1109,tiktok gue isinya marketplace guru semua,Positif
1111,marketplace guru itu gimana maksudnya,Negatif
1112,ada gila gila nya marketplace guruudah kyk ah sudahlahsaya pusing sama negeri ini hshsh,Negatif
1113,jadi guru tuh susah lulusnya masih harus ambil profesi gajinya ga seberapa kudu ikhlas lahir batin ditambah ada marketplace how about lulusan s or fresh graduate,Negatif
1114,busedd dah marketplace gurublm juga lulusliat berita yg baru keluar hshshs,Negatif
1116,lagi berjuang buat spd malah muncul berita ttg marketplace guru,Negatif
1117,kepada para wakil rakyat yang duduk di kursi rapat kerja terkait pk dan program marketplace guru kepada bapak ibu yang memperjuangkan hak para guru honorer terimakasih kehadiran kalian memberi angin segar dan harapan untuk para guru semoga suara kalian didengar,Negatif
1118,seleksi pppk aja masih amburadul udah ada lagi kebijakan baru marketplace guru,Negatif
1119,perkara kebijakan marketplace guru mereka bukan barang kenapa harus ada sistem seperti itu semakin kesini kenapa guru semakin dipersulit dan seakan tidak dihargai padahal semuaa yang duduk di bangku pemerintah mereka tidak akan bisa disana tanpa seorang guru,Negatif
1120,dulu ibuku nyuruh bgt anaknya sekolah pendidikandan skrg liat info kaloo ada marketplace khusus guru wahh ngeri,Negatif
1122,lagi rame soal marketplace guru ya ,Negatif
1123,sekte baru di dunia pendidikan marketplace guru mas mentri pikir kami guru ini barang  tinggal dimasukan di keranjang kuning sekalian tambah bintang  gaji tidak seberapa tuntutan elit    ,Negatif
1124,marketplace guru apaan weh,Positif
1125,awikwok banget jadi guru malah dijadiin bahan marketplace,Negatif
1126,guee makin lemes aja liat berita marketplace guru,Negatif
1127, co barang no  co guru marketplace tai anjing,Negatif
1128,marketplace guru segala macem ,Negatif
1129,penggunaan kata marketplace nya memang tidak pantas sih imo tp bentuk seperti ini dapat meningkatkan profesionalitas semua org pernah jd murid pasti pernah mendapatkan guru yg ga nguasai materi jarang masuk makan gaji buta lah dll dgn filter melalui hal itu keren sih,Negatif
1130,lucu pak jadinya marketplace wujud ecommerce diimplementasikan ke pendidikan seperti halnya barang dagang nilainilai guru jadi terdegradasi,Negatif
1131,lagi struggle buat dapet spd malah ada marketplace guru jingaan ,Negatif
1132,guru mau di tempatkan ke dalam marketplace kata mas menteri jadi nda usah khawatir kalau nda masuk zonasi tinggal di order gurunya di marketplace biaya ongkir sesuai jarak mungkin,Negatif
1133,marketplace guru tuh gimana ,Negatif
1135,marketplace guru haha lucu juga yaa ,Negatif
1136,hdh marketplace guru aph lg cb ,Negatif
1139,tentang marketplace guru thats a brilliant idea tapi apa yakin sekolah sudah bisa objektif dalam merekrut guru apa malah memperbesar peluang kolusi dan penyuapan sebab sekolah memegang kuasa penuh dalam perekrutan guru ,Positif
1140,dari pk aja banyak yg titip data dapodik apalagi marketplace guru,Negatif
1141,marketplace guru jembut,Negatif
1142,skrng ada marketplace buat guru knp gk da marketplace juga utk kades camat dprd dpr dll hrsnya dibikin juga gitu biar punya peniaian obyektif dari masyarakat dan saya herannya kok orng yg jabat malah gk da kualifikasi pendidikan dan moralitasnya yah ,Negatif
1143,ini aku jg udah smt  lgi berjuang skripsian tp mlah baca marketplace guru gimna g ovt kedepannya hrusnya udah punya spd juga g perlu ppg dikira kita kuliah  smt kga belajarr kga kluar duit hrus ada ppg lgi mna pke ad acara marketplace guru lagii,Negatif
1144,gek opo meneh marketplace guru iki,Negatif
1145,ini jelasss yang akan terjadi kalau rekrut guru pake marketplace udaah bakall jelass pliss lahhh tolongg bgtt gimanaa caranya biar mentri dan jajaran pahamm hal ini gaperluuu disahkan udah guru klen buat pk skrg kudu di cekout hahhhhhh gaji jdi gurupun kecil tpi susah klii,Negatif
1146,tapi kalau modelnya kyk gini sekolah memilih guru di marketplace kejadian bayar membayarr sogok dibelakang layar bakal merjalalelaa,Negatif
1147,potret marketplace guru  guru pjok soldout ya guru kelas ready,Negatif
1150,siapaaa yang overthingking sama marketplace guru,Negatif
1151,duh ajg rame ttg marketplace guru malah gua klo lulus gelar nya spd mmhfck apa tidak makin otv,Negatif
1152,market place guru dpr dkk dibikin ala ala marketplace juga ga,Negatif
1153,lagi capekcapeknya kuliah malah denger kabar marketplace guru ,Negatif
1154,marketplace guru marai soyo ra pengen dadi guru wkwk,Negatif
1155,mungkin pak menteri belum move onakan rekrutan guru via marketplace  gojek gocargofood dan goguru,Negatif
1157,tidak ada apa²nya kalo dikatain harus ikhlas dong ikhlas sih ikhlas kalo masalah gaji dan kebutuhan hidup juga harus realistis gaji ga sepadan tapi dituntut buat sempuiharus serba bisa dan multitalenta marketplace guru kacau nih,Negatif
1158,huhu apa lg ini marketplace guru,Negatif
1160,hah marketplace guru,Negatif
1161,barusan liat skema marketplace guru dan iyaaaa oke ini program baru buat mempercepat proses pppk biar jalannya cepet tp dr awal pppk muncul jg ga habis thinking  udh kehilangan gelar pns dijadiin produk jual beli juga makin ilang deh esensi gurunya kek yg bener ajalah pak,Negatif
1162,bakalan ada disc gtu kah  tapi aku masi penasaran marketplace guru ini mau dibawa kek mana lgi,Negatif
1163,susahnya jadi gurusebenarnya guru tuh dipandang kualitas rendah atau gimana si aku lihat ppg aja udh berat kenapa ga sistem perkuliahan pendidikan udh masuk ppg di dalamnya jadi yang lulus udh ga perlu ppg lgi marketplace guru klo misal yang co ordal ya gimana yhaa,Negatif
1164,dunia pendidikan saat ini gimana sih gimana anak muda amu tertarik jadi guru realitanya kebijakan selalu digontaganti yang sangat mebingungkan kesejahteraannya juga jauh dari kata sejahtera fighting for teacher  ,Negatif
1165,marketplace guru real banget ini mah kita yang spd ntar nunggu dicheckout sekolah,Negatif
1166,drama pppk ppg prajab daljab guru penggerak belum kelar ada lagi marketplace buat guru rumit banget mau jadi guru gaes,Negatif
1167,marketplace guru tu gmn si masi bingung gue,Negatif
1168,gara² kata marketplace jadi terlihat negatif sebenernya sama aja kayak platform linkedin tapi kusus guru,Negatif
1169,lagi perjuangin spd tibatiba ada marketplace guru wtf,Negatif
1171,apalagi ni marketplace buat guru,Negatif
1172,oiyaa aku blm baca tweet selanjutnya hehe iya kak belum ada aturan marketplace guru aja banyak orang dalem apalagi setelah sekolah dibebasin pilih pake sistem gini yaa,Negatif
1174,lagi rame marketplace guru kok dirasarasa kek perdagangan manusia,Negatif
1175,namanya juga guru tanpa tanda jasa kalo gini konsep nya ya kan sekolah nih kyk cari jasa pengajar ke marketplace itu hahahahah,Negatif
1177,belum lagi syarat yang harus ditempuh agar masuk ke marketplace guru salah satunya ppg jelas keluar duit lagi memang kemendikbud bakal menyediakan sistem beasiswa tapi apa bisa ngecover seluruh indonesia,Negatif
1178,sistem marketplace guru yang mau diusung ini harapannya bisa meminimalisir praktek kkn dalam rekrutmen guru namun kalo dilihat dari sistemnya malah ini jadi ladang kkn buat sekolahsekolah agar bisa memasukkan sanak saudarannya karena yang milih ya jelas tergantung atasan sekolah,Negatif
1179,misal ki rip koe nek meh tumbas hp kan iso lewat tokped dll nah sekolah sek membutuhkan guru ki iso check out soko marketplace munggin gitu cmiiw,Negatif
1180,inilah pentingnya menteri sesuai dengan jurusannya pendidikan itu bassic jd hrs dikaji dgn org yg kompeten d bidangnya  ga ush dulu dh bahas marketplace guru permsalahn kurikulumnya ud mnyebar dan sesuai blm,Negatif
1181,dari murni mau jadi guru ambil akta  tapi saat itu guru dari fkip aja cukup  okelah adil akta  dihapuskan alhamdulillah lulusan fkip mau jadi guru harus ambil ppg amp bersaing sm murni yg mau jadi guru bisa ambil ppg juga sedih sekarang marketplace guru speechless,Negatif
1182,caption ndk marketplace guru guru minus pemakaian,Negatif
1184,buruan ganti mentri kek berasa guru jual diri kl marketplace gt wkwkwk,Negatif
1185,marketplace guru hmm lets see,Positif
1186,marketplace guru maksudnya apa dah jadi nunggu ada skolah yg mau co gitu kah ide siapa sih ini ,Negatif
1187,sistem yang digunakan seluruh sekolah akan mengambil guru yang hanya ada di marketplace guru sedangkan ada  syarat mutlak masuk marketplace guru  lulus pppk  lulus ppg berlaku mulai tahun  kami yang hanya lulusan s mau dikemanakan harus ppg pppk pake duit bapak,Negatif
1188,terkait dgn marketplace guru ini hmm sepertinya cukup sulit diterapkan di desa kkn kami ini krn kemarin sempat listrik padam sinyal pun ikut hilang ditambah dengan siswa yang dibatasi penggunaan gadgetnya oleh sekolah krn banyak digunakan utk akses konten ,Negatif
1189,sebenernya tujuan pak nadiem bagus ngilangin budaya honorer cuma diksinya aja gak cocok diluar negeri juga pakai sistem ini buat guru jadi sekolah gak bisa bayar guru seenaknya tapi dilihat lagi soalnya sekolah swasta apakah bisa menggaji guru sesuai gaji di marketplace,Positif
1190,nyesek banget liat di tl kalau taun depan jabatan guru bakal di marketplace in  ya gini kalau menteri bukan dari pendidikan  apaapa dilakukan macam bisnis perdagangan,Negatif
